# Accepted-work ledger (ci/ledger.sh): every change of the chain against its parent under one protocol
# (bootstrap-built benchmark binaries, 100 serial self-transpile rounds and one cold real build, 14 cores).
# baseline record: the first commit of the chain, measured under this protocol; the perf gate scales
# ci/baseline.env by the resolved limit over that value.
# work	commit	parent	metric	parent_value	value	improvement	regression	owner
skip borrow analysis from typed IR feature bits, generate move-only fact	ecc1e7f	90409c8	serial_kalloc	503.390	315.430	187.960	0.000	ecc1e7f
skip borrow analysis from typed IR feature bits, generate move-only fact	ecc1e7f	90409c8	serial_mcyc	1950.323	1716.516	233.807	0.000	ecc1e7f
emit dependency-local headers, hash-sharded module and owner-instance TU	f5f587a	ecc1e7f	frontend_mcyc	379.810	374.140	5.670	0.000	f5f587a
emit dependency-local headers, hash-sharded module and owner-instance TU	f5f587a	ecc1e7f	heap_mib	394.359	398.861	0.000	4.502	f5f587a
emit dependency-local headers, hash-sharded module and owner-instance TU	f5f587a	ecc1e7f	parallel_transpile_ms	327.333	423.175	0.000	95.842	f5f587a
emit dependency-local headers, hash-sharded module and owner-instance TU	f5f587a	ecc1e7f	peak_rss_mib	282.859	283.797	0.000	0.938	f5f587a
emit dependency-local headers, hash-sharded module and owner-instance TU	f5f587a	ecc1e7f	phase_borrowck_mcyc	433.990	426.820	7.170	0.000	f5f587a
emit dependency-local headers, hash-sharded module and owner-instance TU	f5f587a	ecc1e7f	phase_codegen_mcyc	907.310	902.130	5.180	0.000	f5f587a
emit dependency-local headers, hash-sharded module and owner-instance TU	f5f587a	ecc1e7f	phase_parse_mcyc	121.570	119.290	2.280	0.000	f5f587a
emit dependency-local headers, hash-sharded module and owner-instance TU	f5f587a	ecc1e7f	phase_resolve_mcyc	61.780	61.940	0.000	0.160	f5f587a
emit dependency-local headers, hash-sharded module and owner-instance TU	f5f587a	ecc1e7f	phase_typecheck_mcyc	196.460	192.910	3.550	0.000	f5f587a
emit dependency-local headers, hash-sharded module and owner-instance TU	f5f587a	ecc1e7f	serial_cpu_ms	468.203	457.145	11.058	0.000	f5f587a
emit dependency-local headers, hash-sharded module and owner-instance TU	f5f587a	ecc1e7f	serial_kalloc	315.430	319.350	0.000	3.920	f5f587a
emit dependency-local headers, hash-sharded module and owner-instance TU	f5f587a	ecc1e7f	serial_mcyc	1716.516	1700.467	16.049	0.000	f5f587a
add profile lto, opt-level and link-args keys, probe the toolchain for T	778b66f	f5f587a	frontend_mcyc	374.140	375.130	0.000	0.990	778b66f
add profile lto, opt-level and link-args keys, probe the toolchain for T	778b66f	f5f587a	heap_mib	398.861	400.030	0.000	1.169	778b66f
add profile lto, opt-level and link-args keys, probe the toolchain for T	778b66f	f5f587a	parallel_transpile_ms	423.175	402.083	21.092	0.000	778b66f
add profile lto, opt-level and link-args keys, probe the toolchain for T	778b66f	f5f587a	peak_rss_mib	283.797	285.234	0.000	1.437	778b66f
add profile lto, opt-level and link-args keys, probe the toolchain for T	778b66f	f5f587a	phase_borrowck_mcyc	426.820	430.270	0.000	3.450	778b66f
add profile lto, opt-level and link-args keys, probe the toolchain for T	778b66f	f5f587a	phase_codegen_mcyc	902.130	903.700	0.000	1.570	778b66f
add profile lto, opt-level and link-args keys, probe the toolchain for T	778b66f	f5f587a	phase_parse_mcyc	119.290	119.680	0.000	0.390	778b66f
add profile lto, opt-level and link-args keys, probe the toolchain for T	778b66f	f5f587a	phase_resolve_mcyc	61.940	61.980	0.000	0.040	778b66f
add profile lto, opt-level and link-args keys, probe the toolchain for T	778b66f	f5f587a	phase_typecheck_mcyc	192.910	193.470	0.000	0.560	778b66f
add profile lto, opt-level and link-args keys, probe the toolchain for T	778b66f	f5f587a	serial_cpu_ms	457.145	458.343	0.000	1.198	778b66f
add profile lto, opt-level and link-args keys, probe the toolchain for T	778b66f	f5f587a	serial_kalloc	319.350	319.840	0.000	0.490	778b66f
add profile lto, opt-level and link-args keys, probe the toolchain for T	778b66f	f5f587a	serial_mcyc	1700.467	1700.576	0.000	0.109	778b66f
publish every type into one package table at deterministic checkpoints, 	2e18816	778b66f	frontend_mcyc	375.130	377.120	0.000	1.990	2e18816
publish every type into one package table at deterministic checkpoints, 	2e18816	778b66f	heap_mib	400.030	418.541	0.000	18.511	2e18816
publish every type into one package table at deterministic checkpoints, 	2e18816	778b66f	parallel_transpile_ms	402.083	402.986	0.000	0.903	2e18816
publish every type into one package table at deterministic checkpoints, 	2e18816	778b66f	peak_rss_mib	285.234	256.375	28.859	0.000	2e18816
publish every type into one package table at deterministic checkpoints, 	2e18816	778b66f	phase_borrowck_mcyc	430.270	449.330	0.000	19.060	2e18816
publish every type into one package table at deterministic checkpoints, 	2e18816	778b66f	phase_codegen_mcyc	903.700	928.190	0.000	24.490	2e18816
publish every type into one package table at deterministic checkpoints, 	2e18816	778b66f	phase_parse_mcyc	119.680	120.930	0.000	1.250	2e18816
publish every type into one package table at deterministic checkpoints, 	2e18816	778b66f	phase_resolve_mcyc	61.980	62.940	0.000	0.960	2e18816
publish every type into one package table at deterministic checkpoints, 	2e18816	778b66f	phase_typecheck_mcyc	193.470	193.250	0.220	0.000	2e18816
publish every type into one package table at deterministic checkpoints, 	2e18816	778b66f	serial_cpu_ms	458.343	466.049	0.000	7.706	2e18816
publish every type into one package table at deterministic checkpoints, 	2e18816	778b66f	serial_kalloc	319.840	330.060	0.000	10.220	2e18816
publish every type into one package table at deterministic checkpoints, 	2e18816	778b66f	serial_mcyc	1700.576	1736.219	0.000	35.643	2e18816
decide output shard counts from the emitted size with a recorded metadat	b61848d	2e18816	frontend_mcyc	377.120	382.070	0.000	4.950	b61848d
decide output shard counts from the emitted size with a recorded metadat	b61848d	2e18816	heap_mib	418.541	419.374	0.000	0.833	b61848d
decide output shard counts from the emitted size with a recorded metadat	b61848d	2e18816	parallel_transpile_ms	402.986	400.738	2.248	0.000	b61848d
decide output shard counts from the emitted size with a recorded metadat	b61848d	2e18816	peak_rss_mib	256.375	262.156	0.000	5.781	b61848d
decide output shard counts from the emitted size with a recorded metadat	b61848d	2e18816	phase_borrowck_mcyc	449.330	452.240	0.000	2.910	b61848d
decide output shard counts from the emitted size with a recorded metadat	b61848d	2e18816	phase_codegen_mcyc	928.190	943.890	0.000	15.700	b61848d
decide output shard counts from the emitted size with a recorded metadat	b61848d	2e18816	phase_parse_mcyc	120.930	122.190	0.000	1.260	b61848d
decide output shard counts from the emitted size with a recorded metadat	b61848d	2e18816	phase_resolve_mcyc	62.940	63.470	0.000	0.530	b61848d
decide output shard counts from the emitted size with a recorded metadat	b61848d	2e18816	phase_typecheck_mcyc	193.250	196.410	0.000	3.160	b61848d
decide output shard counts from the emitted size with a recorded metadat	b61848d	2e18816	serial_cpu_ms	466.049	483.204	0.000	17.155	b61848d
decide output shard counts from the emitted size with a recorded metadat	b61848d	2e18816	serial_kalloc	330.060	330.490	0.000	0.430	b61848d
decide output shard counts from the emitted size with a recorded metadat	b61848d	2e18816	serial_mcyc	1736.219	1781.969	0.000	45.750	b61848d
release function body syntax after emission planning and per closed docu	32aea8e	b61848d	frontend_mcyc	382.070	411.950	0.000	29.880	32aea8e
release function body syntax after emission planning and per closed docu	32aea8e	b61848d	heap_mib	419.374	436.282	0.000	16.908	32aea8e
release function body syntax after emission planning and per closed docu	32aea8e	b61848d	parallel_transpile_ms	400.738	449.060	0.000	48.322	32aea8e
release function body syntax after emission planning and per closed docu	32aea8e	b61848d	peak_rss_mib	262.156	285.844	0.000	23.688	32aea8e
release function body syntax after emission planning and per closed docu	32aea8e	b61848d	phase_borrowck_mcyc	452.240	491.550	0.000	39.310	32aea8e
release function body syntax after emission planning and per closed docu	32aea8e	b61848d	phase_codegen_mcyc	943.890	915.530	28.360	0.000	32aea8e
release function body syntax after emission planning and per closed docu	32aea8e	b61848d	phase_parse_mcyc	122.190	125.040	0.000	2.850	32aea8e
release function body syntax after emission planning and per closed docu	32aea8e	b61848d	phase_resolve_mcyc	63.470	67.490	0.000	4.020	32aea8e
release function body syntax after emission planning and per closed docu	32aea8e	b61848d	phase_typecheck_mcyc	196.410	219.420	0.000	23.010	32aea8e
release function body syntax after emission planning and per closed docu	32aea8e	b61848d	serial_cpu_ms	483.204	487.665	0.000	4.461	32aea8e
release function body syntax after emission planning and per closed docu	32aea8e	b61848d	serial_kalloc	330.490	324.600	5.890	0.000	32aea8e
release function body syntax after emission planning and per closed docu	32aea8e	b61848d	serial_mcyc	1781.969	1812.006	0.000	30.037	32aea8e
index items with stable keys, signature hashes, dependency edges and rea	f96e880	32aea8e	frontend_mcyc	411.950	419.010	0.000	7.060	f96e880
index items with stable keys, signature hashes, dependency edges and rea	f96e880	32aea8e	heap_mib	436.282	441.803	0.000	5.521	f96e880
index items with stable keys, signature hashes, dependency edges and rea	f96e880	32aea8e	parallel_transpile_ms	449.060	448.292	0.768	0.000	f96e880
index items with stable keys, signature hashes, dependency edges and rea	f96e880	32aea8e	peak_rss_mib	285.844	282.469	3.375	0.000	f96e880
index items with stable keys, signature hashes, dependency edges and rea	f96e880	32aea8e	phase_borrowck_mcyc	491.550	496.040	0.000	4.490	f96e880
index items with stable keys, signature hashes, dependency edges and rea	f96e880	32aea8e	phase_codegen_mcyc	915.530	920.400	0.000	4.870	f96e880
index items with stable keys, signature hashes, dependency edges and rea	f96e880	32aea8e	phase_parse_mcyc	125.040	126.170	0.000	1.130	f96e880
index items with stable keys, signature hashes, dependency edges and rea	f96e880	32aea8e	phase_resolve_mcyc	67.490	68.610	0.000	1.120	f96e880
index items with stable keys, signature hashes, dependency edges and rea	f96e880	32aea8e	phase_typecheck_mcyc	219.420	224.230	0.000	4.810	f96e880
index items with stable keys, signature hashes, dependency edges and rea	f96e880	32aea8e	serial_cpu_ms	487.665	496.470	0.000	8.805	f96e880
index items with stable keys, signature hashes, dependency edges and rea	f96e880	32aea8e	serial_kalloc	324.600	326.360	0.000	1.760	f96e880
index items with stable keys, signature hashes, dependency edges and rea	f96e880	32aea8e	serial_mcyc	1812.006	1836.302	0.000	24.296	f96e880
free each module's body syntax after its borrow pass	baf68a3	f96e880	frontend_mcyc	419.010	417.730	1.280	0.000	baf68a3
free each module's body syntax after its borrow pass	baf68a3	f96e880	heap_mib	441.803	411.955	29.848	0.000	baf68a3
free each module's body syntax after its borrow pass	baf68a3	f96e880	parallel_transpile_ms	448.292	419.634	28.658	0.000	baf68a3
free each module's body syntax after its borrow pass	baf68a3	f96e880	peak_rss_mib	282.469	288.031	0.000	5.562	baf68a3
free each module's body syntax after its borrow pass	baf68a3	f96e880	phase_borrowck_mcyc	496.040	497.810	0.000	1.770	baf68a3
free each module's body syntax after its borrow pass	baf68a3	f96e880	phase_codegen_mcyc	920.400	924.030	0.000	3.630	baf68a3
free each module's body syntax after its borrow pass	baf68a3	f96e880	phase_parse_mcyc	126.170	126.330	0.000	0.160	baf68a3
free each module's body syntax after its borrow pass	baf68a3	f96e880	phase_resolve_mcyc	68.610	68.660	0.000	0.050	baf68a3
free each module's body syntax after its borrow pass	baf68a3	f96e880	phase_typecheck_mcyc	224.230	222.740	1.490	0.000	baf68a3
free each module's body syntax after its borrow pass	baf68a3	f96e880	serial_cpu_ms	496.470	496.704	0.000	0.234	baf68a3
free each module's body syntax after its borrow pass	baf68a3	f96e880	serial_kalloc	326.360	322.350	4.010	0.000	baf68a3
free each module's body syntax after its borrow pass	baf68a3	f96e880	serial_mcyc	1836.302	1836.739	0.000	0.437	baf68a3
read the unused-item lint from the post-typecheck item edges	aa93fb3	baf68a3	frontend_mcyc	417.730	421.250	0.000	3.520	aa93fb3
read the unused-item lint from the post-typecheck item edges	aa93fb3	baf68a3	heap_mib	411.955	411.137	0.818	0.000	aa93fb3
read the unused-item lint from the post-typecheck item edges	aa93fb3	baf68a3	parallel_transpile_ms	419.634	452.913	0.000	33.279	aa93fb3
read the unused-item lint from the post-typecheck item edges	aa93fb3	baf68a3	peak_rss_mib	288.031	288.391	0.000	0.360	aa93fb3
read the unused-item lint from the post-typecheck item edges	aa93fb3	baf68a3	phase_borrowck_mcyc	497.810	501.880	0.000	4.070	aa93fb3
read the unused-item lint from the post-typecheck item edges	aa93fb3	baf68a3	phase_codegen_mcyc	924.030	934.290	0.000	10.260	aa93fb3
read the unused-item lint from the post-typecheck item edges	aa93fb3	baf68a3	phase_parse_mcyc	126.330	128.020	0.000	1.690	aa93fb3
read the unused-item lint from the post-typecheck item edges	aa93fb3	baf68a3	phase_resolve_mcyc	68.660	68.720	0.000	0.060	aa93fb3
read the unused-item lint from the post-typecheck item edges	aa93fb3	baf68a3	phase_typecheck_mcyc	222.740	224.510	0.000	1.770	aa93fb3
read the unused-item lint from the post-typecheck item edges	aa93fb3	baf68a3	serial_cpu_ms	496.704	503.625	0.000	6.921	aa93fb3
read the unused-item lint from the post-typecheck item edges	aa93fb3	baf68a3	serial_kalloc	322.350	322.380	0.000	0.030	aa93fb3
read the unused-item lint from the post-typecheck item edges	aa93fb3	baf68a3	serial_mcyc	1836.739	1855.516	0.000	18.777	aa93fb3
elaborate drops in the borrow pass and splice elaborated callees	cdccc20	aa93fb3	frontend_mcyc	421.250	422.200	0.000	0.950	cdccc20
elaborate drops in the borrow pass and splice elaborated callees	cdccc20	aa93fb3	heap_mib	411.137	400.653	10.484	0.000	cdccc20
elaborate drops in the borrow pass and splice elaborated callees	cdccc20	aa93fb3	parallel_transpile_ms	452.913	427.616	25.297	0.000	cdccc20
elaborate drops in the borrow pass and splice elaborated callees	cdccc20	aa93fb3	peak_rss_mib	288.391	274.344	14.047	0.000	cdccc20
elaborate drops in the borrow pass and splice elaborated callees	cdccc20	aa93fb3	phase_borrowck_mcyc	501.880	526.300	0.000	24.420	cdccc20
elaborate drops in the borrow pass and splice elaborated callees	cdccc20	aa93fb3	phase_codegen_mcyc	934.290	797.620	136.670	0.000	cdccc20
elaborate drops in the borrow pass and splice elaborated callees	cdccc20	aa93fb3	phase_parse_mcyc	128.020	127.460	0.560	0.000	cdccc20
elaborate drops in the borrow pass and splice elaborated callees	cdccc20	aa93fb3	phase_resolve_mcyc	68.720	70.430	0.000	1.710	cdccc20
elaborate drops in the borrow pass and splice elaborated callees	cdccc20	aa93fb3	phase_typecheck_mcyc	224.510	224.310	0.200	0.000	cdccc20
elaborate drops in the borrow pass and splice elaborated callees	cdccc20	aa93fb3	serial_cpu_ms	503.625	471.201	32.424	0.000	cdccc20
elaborate drops in the borrow pass and splice elaborated callees	cdccc20	aa93fb3	serial_kalloc	322.380	320.480	1.900	0.000	cdccc20
elaborate drops in the borrow pass and splice elaborated callees	cdccc20	aa93fb3	serial_mcyc	1855.516	1742.417	113.099	0.000	cdccc20
measure instance re-lowering, pair demand incrementally and mix the type	95f9648	cdccc20	frontend_mcyc	422.200	422.290	0.000	0.090	95f9648
measure instance re-lowering, pair demand incrementally and mix the type	95f9648	cdccc20	heap_mib	400.653	401.616	0.000	0.963	95f9648
measure instance re-lowering, pair demand incrementally and mix the type	95f9648	cdccc20	parallel_transpile_ms	427.616	425.583	2.033	0.000	95f9648
measure instance re-lowering, pair demand incrementally and mix the type	95f9648	cdccc20	peak_rss_mib	274.344	278.141	0.000	3.797	95f9648
measure instance re-lowering, pair demand incrementally and mix the type	95f9648	cdccc20	phase_borrowck_mcyc	526.300	521.170	5.130	0.000	95f9648
measure instance re-lowering, pair demand incrementally and mix the type	95f9648	cdccc20	phase_codegen_mcyc	797.620	778.980	18.640	0.000	95f9648
measure instance re-lowering, pair demand incrementally and mix the type	95f9648	cdccc20	phase_parse_mcyc	127.460	125.900	1.560	0.000	95f9648
measure instance re-lowering, pair demand incrementally and mix the type	95f9648	cdccc20	phase_resolve_mcyc	70.430	68.470	1.960	0.000	95f9648
measure instance re-lowering, pair demand incrementally and mix the type	95f9648	cdccc20	phase_typecheck_mcyc	224.310	227.920	0.000	3.610	95f9648
measure instance re-lowering, pair demand incrementally and mix the type	95f9648	cdccc20	serial_cpu_ms	471.201	463.186	8.015	0.000	95f9648
measure instance re-lowering, pair demand incrementally and mix the type	95f9648	cdccc20	serial_kalloc	320.480	321.050	0.000	0.570	95f9648
measure instance re-lowering, pair demand incrementally and mix the type	95f9648	cdccc20	serial_mcyc	1742.417	1715.578	26.839	0.000	95f9648
schedule the type check as item jobs with static component visibility	cf6c798	95f9648	frontend_mcyc	422.290	427.520	0.000	5.230	cf6c798
schedule the type check as item jobs with static component visibility	cf6c798	95f9648	heap_mib	401.616	410.298	0.000	8.682	cf6c798
schedule the type check as item jobs with static component visibility	cf6c798	95f9648	parallel_transpile_ms	425.583	426.466	0.000	0.883	cf6c798
schedule the type check as item jobs with static component visibility	cf6c798	95f9648	peak_rss_mib	278.141	290.188	0.000	12.047	cf6c798
schedule the type check as item jobs with static component visibility	cf6c798	95f9648	phase_borrowck_mcyc	521.170	496.220	24.950	0.000	cf6c798
schedule the type check as item jobs with static component visibility	cf6c798	95f9648	phase_codegen_mcyc	778.980	786.540	0.000	7.560	cf6c798
schedule the type check as item jobs with static component visibility	cf6c798	95f9648	phase_parse_mcyc	125.900	127.070	0.000	1.170	cf6c798
schedule the type check as item jobs with static component visibility	cf6c798	95f9648	phase_resolve_mcyc	68.470	69.760	0.000	1.290	cf6c798
schedule the type check as item jobs with static component visibility	cf6c798	95f9648	phase_typecheck_mcyc	227.920	230.690	0.000	2.770	cf6c798
schedule the type check as item jobs with static component visibility	cf6c798	95f9648	serial_cpu_ms	463.186	458.325	4.861	0.000	cf6c798
schedule the type check as item jobs with static component visibility	cf6c798	95f9648	serial_kalloc	321.050	324.220	0.000	3.170	cf6c798
schedule the type check as item jobs with static component visibility	cf6c798	95f9648	serial_mcyc	1715.578	1701.712	13.866	0.000	cf6c798
